Temperature (°C),Humidity (%),Wind Speed (mph),Precipitation (%),Cloud Cover,Atmospheric Pressure (hPa),UV Index,Season,Visibility (km),Location,Weather Type
1.0,98,6.5,96.0,Partly cloudy,986.88,0,Winter,4.5,Mountain,Snowy
1.0,87,10.0,92.0,Overcast,998.22,0,Winter,2.0,Inland,Snowy
3.0,72,9.0,53.0,Overcast,986.93,1,Winter,1.5,Inland,Snowy
1.0,88,1.0,70.0,Partly cloudy,982.72,0,Winter,1.5,Inland,Snowy
1.0,98,2.0,81.0,Overcast,980.59,0,Winter,2.0,Inland,Snowy
3.0,82,20.0,81.0,Partly cloudy,981.42,1,Winter,5.0,Mountain,Snowy
1.0,88,3.5,55.0,Partly cloudy,980.85,0,Winter,2.5,Inland,Snowy
3.0,87,10.0,87.0,Overcast,998.29,0,Winter,1.0,Inland,Snowy
3.0,62,1.5,67.0,Overcast,989.62,1,Winter,3.0,Mountain,Snowy
3.0,72,3.0,98.0,Overcast,992.97,1,Winter,2.0,Inland,Snowy
1.0,98,12.0,89.0,Overcast,993.5,1,Winter,1.0,Mountain,Snowy
3.0,83,17.0,87.0,Partly cloudy,983.86,0,Winter,3.5,Mountain,Snowy
2.0,82,9.5,92.0,Overcast,997.52,1,Winter,2.5,Mountain,Snowy
3.0,74,14.0,83.0,Overcast,981.85,1,Winter,1.0,Mountain,Snowy
1.0,70,11.5,64.0,Partly cloudy,996.82,1,Winter,3.0,Inland,Snowy
1.0,65,4.5,73.0,Overcast,983.23,1,Winter,2.0,Inland,Snowy
3.0,65,16.0,63.0,Partly cloudy,996.43,1,Winter,4.5,Inland,Snowy
2.0,60,6.5,76.0,Overcast,981.66,1,Winter,3.5,Mountain,Snowy
1.0,73,5.5,78.0,Overcast,982.35,1,Winter,1.5,Mountain,Snowy
1.0,108,13.0,84.0,Overcast,991.22,7,Winter,6.0,Inland,Snowy
2.0,80,8.0,77.0,Overcast,990.94,0,Winter,4.0,Mountain,Snowy
1.0,84,16.0,50.0,Overcast,995.04,1,Winter,5.0,Mountain,Snowy
3.0,96,4.0,56.0,Overcast,997.36,1,Winter,3.5,Inland,Snowy
1.0,72,16.0,68.0,Partly cloudy,998.3,0,Winter,4.0,Mountain,Snowy
3.0,68,11.0,95.0,Overcast,983.81,1,Winter,2.5,Mountain,Snowy
1.0,80,16.0,72.0,Overcast,982.57,0,Winter,1.5,Mountain,Snowy
2.0,85,16.5,91.0,Overcast,993.6,1,Winter,3.0,Mountain,Snowy
3.0,91,13.5,58.0,Partly cloudy,981.69,0,Winter,4.5,Mountain,Snowy
2.0,81,18.0,89.0,Overcast,980.43,1,Winter,4.5,Mountain,Snowy
1.0,92,19.0,60.0,Overcast,999.31,0,Winter,4.0,Inland,Snowy
3.0,97,16.0,57.0,Overcast,984.79,1,Winter,3.0,Mountain,Snowy
3.0,82,12.0,51.0,Partly cloudy,985.4,1,Winter,4.0,Mountain,Snowy
3.0,66,2.5,76.0,Overcast,982.59,1,Winter,1.5,Inland,Snowy
2.0,89,14.5,86.0,Partly cloudy,980.18,0,Winter,1.5,Inland,Snowy
1.0,64,1.0,95.0,Overcast,991.15,0,Winter,3.5,Mountain,Snowy
2.0,89,10.0,60.0,Overcast,986.09,1,Winter,1.0,Inland,Snowy
3.0,62,7.5,61.0,Partly cloudy,985.19,1,Winter,4.5,Mountain,Snowy
2.0,95,5.0,80.0,Overcast,987.9,1,Winter,3.5,Mountain,Snowy
2.0,75,6.0,79.0,Overcast,995.75,0,Winter,2.0,Mountain,Snowy
1.0,76,0.5,85.0,Overcast,989.7,1,Winter,4.0,Inland,Snowy
1.0,68,6.5,73.0,Overcast,989.74,1,Winter,5.0,Mountain,Snowy
1.0,80,2.5,95.0,Overcast,991.59,0,Winter,1.5,Mountain,Snowy
1.0,73,7.5,91.0,Overcast,997.63,1,Winter,1.0,Inland,Snowy
2.0,99,3.5,84.0,Overcast,999.65,0,Winter,3.5,Inland,Snowy
3.0,80,17.0,72.0,Overcast,994.53,0,Winter,4.0,Mountain,Snowy
1.0,68,8.0,54.0,Overcast,996.42,0,Winter,1.0,Mountain,Snowy
1.0,64,6.5,72.0,Overcast,992.48,1,Winter,2.5,Inland,Snowy
3.0,80,18.5,53.0,Overcast,995.4,1,Winter,4.5,Inland,Snowy
2.0,82,3.0,59.0,Overcast,986.34,0,Winter,4.5,Mountain,Snowy
2.0,78,9.5,71.0,Overcast,990.62,0,Winter,3.0,Inland,Snowy
1.0,86,12.0,81.0,Overcast,980.48,1,Winter,2.5,Inland,Snowy
3.0,96,13.0,51.0,Overcast,989.09,1,Winter,1.5,Inland,Snowy
2.0,75,19.0,87.0,Overcast,980.07,0,Winter,4.0,Mountain,Snowy
1.0,65,19.0,59.0,Partly cloudy,980.18,1,Winter,2.0,Inland,Snowy
2.0,86,12.5,53.0,Partly cloudy,989.86,0,Winter,5.0,Mountain,Snowy
1.0,100,13.0,96.0,Overcast,986.26,11,Winter,2.5,Inland,Snowy
2.0,86,12.0,98.0,Overcast,988.82,0,Winter,6.0,Mountain,Snowy
3.0,90,13.5,76.0,Overcast,991.0,1,Winter,3.5,Inland,Snowy
1.0,83,1.0,53.0,Overcast,990.02,1,Winter,3.5,Inland,Snowy
2.0,74,14.0,59.0,Overcast,980.99,0,Winter,1.5,Mountain,Snowy
3.0,99,2.5,72.0,Overcast,986.55,0,Winter,3.5,Inland,Snowy
3.0,88,4.0,56.0,Overcast,992.67,0,Winter,2.0,Mountain,Snowy
3.0,99,14.0,93.0,Overcast,980.85,0,Winter,3.0,Mountain,Snowy
1.0,94,12.5,65.0,Overcast,997.86,0,Winter,4.5,Mountain,Snowy
1.0,68,17.0,54.0,Overcast,991.29,0,Winter,5.0,Inland,Snowy
1.0,99,7.5,76.0,Overcast,983.5,1,Winter,3.0,Inland,Snowy
3.0,69,18.0,69.0,Overcast,991.06,0,Winter,1.5,Mountain,Snowy
1.0,90,0.5,54.0,Overcast,990.0,0,Winter,3.0,Inland,Snowy
2.0,91,11.5,51.0,Overcast,987.31,1,Winter,2.0,Mountain,Snowy
2.0,96,3.5,76.0,Overcast,981.84,1,Winter,1.5,Inland,Snowy
2.0,86,14.5,81.0,Overcast,985.58,0,Winter,4.5,Mountain,Snowy
2.0,83,15.5,98.0,Overcast,994.72,1,Winter,4.0,Mountain,Snowy
3.0,64,2.0,95.0,Overcast,999.27,0,Winter,4.5,Mountain,Snowy
1.0,69,0.5,90.0,Partly cloudy,998.27,1,Winter,2.5,Mountain,Snowy
2.0,60,3.0,70.0,Overcast,994.19,0,Winter,2.0,Mountain,Snowy
3.0,85,17.5,72.0,Overcast,995.95,0,Winter,2.0,Inland,Snowy
2.0,76,5.5,52.0,Partly cloudy,994.97,0,Winter,2.5,Inland,Snowy
2.0,85,16.0,59.0,Overcast,988.47,1,Winter,2.0,Inland,Snowy
2.0,65,4.0,75.0,Overcast,990.41,1,Winter,2.5,Inland,Snowy
1.0,65,3.0,96.0,Overcast,982.07,0,Winter,1.5,Mountain,Snowy
3.0,61,13.5,94.0,Overcast,993.32,0,Winter,1.5,Mountain,Snowy
3.0,83,15.0,58.0,Overcast,989.32,0,Winter,4.0,Inland,Snowy
2.0,90,13.0,69.0,Overcast,989.42,1,Winter,2.0,Inland,Snowy
3.0,85,2.0,72.0,Partly cloudy,996.99,0,Winter,1.0,Inland,Snowy
2.0,85,18.5,65.0,Overcast,986.7,0,Winter,3.0,Inland,Snowy
1.0,73,5.5,61.0,Overcast,989.88,1,Winter,4.0,Inland,Snowy
3.0,89,8.0,85.0,Overcast,983.37,1,Winter,4.5,Inland,Snowy
2.0,62,12.5,53.0,Overcast,980.39,0,Winter,2.0,Inland,Snowy
1.0,62,3.0,63.0,Partly cloudy,985.12,0,Winter,2.5,Mountain,Snowy
2.0,91,16.5,63.0,Overcast,980.67,0,Winter,1.5,Mountain,Snowy
1.0,94,18.0,71.0,Partly cloudy,983.53,1,Winter,1.0,Inland,Snowy
3.0,66,0.5,53.0,Overcast,983.84,0,Winter,1.0,Inland,Snowy
3.0,87,7.5,77.0,Overcast,990.74,0,Winter,1.5,Mountain,Snowy
2.0,69,1.0,50.0,Partly cloudy,997.8,1,Winter,4.0,Inland,Snowy
3.0,92,6.0,53.0,Overcast,997.36,1,Winter,4.0,Inland,Snowy
2.0,93,3.0,74.0,Overcast,983.96,1,Winter,1.5,Inland,Snowy
2.0,68,6.5,81.0,Overcast,984.78,0,Winter,3.5,Inland,Snowy
3.0,82,9.0,56.0,Overcast,982.78,1,Winter,3.5,Inland,Snowy
3.0,89,8.5,72.0,Overcast,989.12,0,Winter,3.5,Inland,Snowy
2.0,81,17.5,72.0,Overcast,985.6,0,Winter,4.0,Inland,Snowy
2.0,84,1.5,70.0,Overcast,995.9,0,Winter,3.0,Inland,Snowy
3.0,90,3.0,68.0,Overcast,995.75,0,Winter,4.5,Mountain,Snowy
1.0,94,3.5,98.0,Partly cloudy,995.67,1,Winter,4.0,Inland,Snowy
2.0,72,11.5,52.0,Overcast,991.57,0,Winter,2.0,Inland,Snowy
2.0,99,12.0,76.0,Overcast,984.42,0,Winter,3.5,Mountain,Snowy
1.0,81,20.0,60.0,Overcast,987.25,0,Winter,1.0,Inland,Snowy
2.0,67,14.0,52.0,Overcast,990.71,0,Winter,1.5,Mountain,Snowy
3.0,60,4.0,78.0,Overcast,992.41,1,Winter,3.5,Inland,Snowy
2.0,78,11.5,59.0,Overcast,991.02,1,Winter,1.5,Inland,Snowy
2.0,69,15.5,67.0,Overcast,983.0,1,Winter,1.5,Inland,Snowy
3.0,89,1.5,56.0,Overcast,996.99,1,Winter,3.0,Mountain,Snowy
1.0,70,5.0,73.0,Overcast,989.16,1,Winter,2.0,Inland,Snowy
1.0,90,5.0,97.0,Overcast,993.93,3,Winter,0.5,Inland,Snowy
1.0,99,7.5,77.0,Partly cloudy,985.59,1,Winter,4.5,Inland,Snowy
2.0,90,6.5,62.0,Overcast,995.89,1,Winter,2.5,Mountain,Snowy
2.0,63,20.0,54.0,Overcast,987.7,0,Winter,5.0,Inland,Snowy
3.0,109,4.5,85.0,Partly cloudy,980.54,8,Winter,2.0,Inland,Snowy
2.0,98,13.5,93.0,Partly cloudy,987.75,1,Winter,4.5,Inland,Snowy
3.0,75,6.5,76.0,Overcast,991.12,0,Winter,1.5,Mountain,Snowy
1.0,79,7.5,88.0,Partly cloudy,995.83,0,Winter,3.0,Mountain,Snowy
1.0,92,3.0,93.0,Partly cloudy,982.11,0,Winter,3.0,Inland,Snowy
3.0,75,7.0,71.0,Overcast,983.75,0,Winter,2.0,Mountain,Snowy
2.0,85,6.0,81.0,Overcast,986.81,1,Winter,1.5,Inland,Snowy
2.0,86,13.5,87.0,Overcast,985.35,0,Winter,3.5,Mountain,Snowy
1.0,95,11.0,75.0,Overcast,989.99,1,Winter,4.0,Mountain,Snowy
1.0,64,3.5,87.0,Overcast,981.65,0,Winter,2.5,Inland,Snowy
1.0,79,5.0,70.0,Overcast,980.54,0,Winter,1.5,Mountain,Snowy
2.0,101,20.5,107.0,Partly cloudy,986.28,8,Winter,2.5,Mountain,Snowy
1.0,90,14.0,69.0,Partly cloudy,986.06,0,Winter,4.0,Inland,Snowy
3.0,88,5.0,54.0,Overcast,987.78,0,Winter,3.0,Mountain,Snowy
2.0,96,13.5,89.0,Partly cloudy,982.42,1,Winter,1.5,Inland,Snowy
3.0,66,5.5,67.0,Overcast,997.35,0,Winter,4.0,Mountain,Snowy
1.0,79,9.0,66.0,Overcast,993.74,1,Winter,1.0,Mountain,Snowy
2.0,91,12.0,89.0,Partly cloudy,984.48,0,Winter,1.0,Inland,Snowy
1.0,86,18.0,68.0,Overcast,992.11,0,Winter,2.5,Mountain,Snowy
1.0,82,15.0,99.0,Overcast,985.11,0,Winter,3.0,Mountain,Snowy
1.0,95,15.5,74.0,Overcast,998.79,1,Winter,3.0,Mountain,Snowy
2.0,73,10.5,53.0,Overcast,994.5,0,Winter,4.0,Inland,Snowy
3.0,81,8.0,88.0,Partly cloudy,994.38,1,Winter,4.0,Mountain,Snowy
2.0,70,16.5,57.0,Overcast,990.44,0,Winter,1.5,Mountain,Snowy
2.0,96,14.0,90.0,Partly cloudy,994.56,1,Winter,1.5,Inland,Snowy
3.0,66,16.5,84.0,Partly cloudy,997.36,1,Winter,4.5,Inland,Snowy
2.0,86,21.5,99.0,Partly cloudy,992.52,9,Winter,5.0,Mountain,Snowy
1.0,82,13.0,99.0,Overcast,988.25,10,Winter,1.5,Mountain,Snowy
2.0,89,9.5,93.0,Partly cloudy,991.88,1,Winter,3.0,Inland,Snowy
3.0,91,3.5,52.0,Partly cloudy,994.38,0,Winter,4.0,Inland,Snowy
1.0,69,14.0,54.0,Partly cloudy,989.64,0,Winter,1.0,Mountain,Snowy
1.0,61,0.5,82.0,Partly cloudy,991.39,0,Winter,4.0,Mountain,Snowy
2.0,89,7.5,52.0,Overcast,997.95,0,Winter,4.5,Inland,Snowy
1.0,78,16.0,54.0,Overcast,992.9,1,Winter,4.0,Inland,Snowy
3.0,72,2.0,72.0,Overcast,980.81,0,Winter,3.5,Inland,Snowy
1.0,89,10.0,80.0,Overcast,990.69,1,Winter,3.0,Mountain,Snowy
2.0,91,0.0,65.0,Overcast,980.71,1,Winter,3.0,Inland,Snowy
2.0,83,16.0,68.0,Overcast,991.77,0,Winter,3.0,Mountain,Snowy
2.0,99,18.0,60.0,Overcast,987.86,0,Winter,4.0,Inland,Snowy
3.0,70,10.5,74.0,Overcast,991.1,1,Winter,3.0,Inland,Snowy
1.0,62,9.0,92.0,Partly cloudy,994.45,1,Winter,1.0,Mountain,Snowy
3.0,72,0.0,66.0,Overcast,997.49,0,Winter,2.0,Mountain,Snowy
1.0,60,8.5,81.0,Overcast,996.8,1,Winter,4.5,Inland,Snowy
2.0,87,7.0,54.0,Overcast,999.53,1,Winter,2.5,Inland,Snowy
3.0,86,9.5,82.0,Partly cloudy,986.53,1,Winter,2.0,Mountain,Snowy
3.0,60,6.0,54.0,Overcast,990.8,1,Winter,4.0,Inland,Snowy
3.0,60,2.5,57.0,Overcast,994.81,0,Winter,5.0,Inland,Snowy
2.0,83,6.0,55.0,Overcast,999.9,1,Winter,4.0,Inland,Snowy
1.0,98,3.0,73.0,Overcast,999.63,0,Winter,1.0,Mountain,Snowy
2.0,97,9.5,77.0,Overcast,992.75,11,Winter,5.0,Inland,Snowy
2.0,95,1.5,74.0,Overcast,993.99,12,Winter,0.0,Mountain,Snowy
3.0,96,2.5,81.0,Overcast,994.68,1,Winter,4.0,Mountain,Snowy
2.0,98,7.5,72.0,Partly cloudy,996.89,1,Winter,4.5,Inland,Snowy
2.0,92,3.5,56.0,Overcast,998.34,1,Winter,5.0,Inland,Snowy
1.0,68,20.0,91.0,Overcast,992.24,0,Winter,4.5,Inland,Snowy
3.0,78,18.0,76.0,Overcast,999.36,0,Winter,3.5,Mountain,Snowy
2.0,97,14.0,54.0,Overcast,995.01,0,Winter,1.5,Inland,Snowy
1.0,88,8.5,98.0,Overcast,999.12,5,Winter,3.5,Mountain,Snowy
1.0,76,14.5,68.0,Overcast,997.51,1,Winter,4.0,Inland,Snowy
3.0,92,11.0,60.0,Overcast,981.37,1,Winter,4.5,Mountain,Snowy
1.0,90,16.5,90.0,Overcast,981.51,0,Winter,1.5,Inland,Snowy
2.0,66,4.0,54.0,Overcast,992.55,0,Winter,3.5,Inland,Snowy
3.0,86,2.5,68.0,Overcast,980.4,0,Winter,1.5,Mountain,Snowy
1.0,87,13.5,54.0,Overcast,987.06,0,Winter,1.0,Mountain,Snowy
3.0,85,17.5,80.0,Overcast,980.33,0,Winter,1.5,Mountain,Snowy
3.0,75,13.0,61.0,Partly cloudy,990.74,0,Winter,1.0,Mountain,Snowy
2.0,68,7.5,89.0,Overcast,996.26,1,Winter,2.5,Mountain,Snowy
1.0,93,10.0,65.0,Overcast,999.33,1,Winter,1.0,Inland,Snowy
3.0,68,16.5,57.0,Overcast,993.37,0,Winter,3.5,Inland,Snowy
2.0,85,17.0,70.0,Overcast,982.02,1,Winter,5.0,Mountain,Snowy
2.0,81,20.0,89.0,Overcast,991.62,7,Winter,0.5,Inland,Snowy
1.0,73,17.0,88.0,Partly cloudy,996.02,1,Winter,1.0,Inland,Snowy
3.0,64,14.0,69.0,Partly cloudy,991.96,1,Winter,2.5,Mountain,Snowy
1.0,89,4.5,71.0,Partly cloudy,997.25,0,Winter,1.5,Inland,Snowy
3.0,96,8.5,77.0,Overcast,982.81,0,Winter,2.5,Mountain,Snowy
3.0,78,16.0,60.0,Overcast,999.94,1,Winter,3.0,Mountain,Snowy
1.0,99,11.5,60.0,Overcast,982.23,1,Winter,1.0,Mountain,Snowy
1.0,92,5.5,61.0,Overcast,985.93,1,Winter,4.5,Inland,Snowy
1.0,98,6.0,65.0,Overcast,999.58,1,Winter,3.0,Inland,Snowy
2.0,104,2.0,98.0,Partly cloudy,985.89,11,Winter,1.0,Mountain,Snowy
1.0,77,14.5,87.0,Overcast,997.18,0,Winter,2.0,Mountain,Snowy
3.0,86,2.0,79.0,Overcast,988.74,1,Winter,3.5,Inland,Snowy
1.0,79,18.5,90.0,Overcast,984.15,1,Winter,1.5,Mountain,Snowy
3.0,68,2.5,93.0,Overcast,983.14,1,Winter,1.0,Inland,Snowy
1.0,94,14.5,95.0,Overcast,983.6,1,Winter,2.0,Inland,Snowy
2.0,83,4.0,75.0,Overcast,993.43,0,Winter,2.0,Inland,Snowy
3.0,63,0.5,51.0,Overcast,987.84,1,Winter,2.0,Mountain,Snowy
1.0,72,5.5,55.0,Overcast,991.05,1,Winter,2.5,Inland,Snowy
2.0,96,2.0,83.0,Overcast,993.76,1,Winter,4.5,Mountain,Snowy
1.0,85,6.5,63.0,Overcast,995.75,1,Winter,2.5,Mountain,Snowy
1.0,89,5.5,66.0,Partly cloudy,997.06,1,Winter,4.0,Mountain,Snowy
2.0,108,16.5,80.0,Overcast,998.62,10,Winter,1.5,Mountain,Snowy
1.0,94,11.0,87.0,Overcast,987.72,1,Winter,4.0,Inland,Snowy
2.0,62,3.0,85.0,Overcast,996.98,0,Winter,1.5,Inland,Snowy
2.0,65,1.5,54.0,Partly cloudy,998.64,1,Winter,3.5,Mountain,Snowy
3.0,98,17.5,69.0,Overcast,986.74,0,Winter,4.0,Inland,Snowy
1.0,67,2.5,92.0,Overcast,990.48,0,Winter,1.5,Mountain,Snowy
2.0,63,9.0,81.0,Partly cloudy,986.13,0,Winter,4.0,Mountain,Snowy
3.0,60,5.5,84.0,Overcast,998.39,0,Winter,1.0,Inland,Snowy
3.0,94,16.5,53.0,Overcast,991.09,0,Winter,4.0,Inland,Snowy
1.0,70,13.5,56.0,Partly cloudy,990.65,0,Winter,4.5,Inland,Snowy
2.0,99,4.5,62.0,Overcast,992.81,0,Winter,3.0,Inland,Snowy
3.0,62,11.5,84.0,Partly cloudy,999.72,0,Winter,3.5,Mountain,Snowy
3.0,60,5.5,67.0,Overcast,994.65,0,Winter,1.0,Mountain,Snowy
3.0,71,4.5,81.0,Overcast,982.78,1,Winter,2.0,Mountain,Snowy
2.0,97,11.0,105.0,Overcast,995.35,11,Winter,1.0,Inland,Snowy
1.0,95,6.0,77.0,Overcast,985.54,12,Winter,1.0,Mountain,Snowy
1.0,81,9.5,96.0,Overcast,986.14,1,Winter,2.5,Mountain,Snowy
1.0,96,18.5,85.0,Overcast,989.08,0,Winter,4.5,Inland,Snowy
2.0,61,3.5,88.0,Overcast,982.39,0,Winter,5.0,Mountain,Snowy
1.0,96,4.0,54.0,Overcast,992.56,0,Winter,4.5,Mountain,Snowy
3.0,75,14.5,91.0,Overcast,982.94,0,Winter,3.0,Inland,Snowy
2.0,81,15.0,88.0,Overcast,991.76,0,Winter,3.5,Inland,Snowy
3.0,73,5.5,54.0,Overcast,987.43,0,Winter,2.0,Mountain,Snowy
2.0,64,2.5,52.0,Overcast,996.59,0,Winter,1.5,Inland,Snowy
1.0,82,12.0,96.0,Overcast,991.89,1,Winter,5.0,Inland,Snowy
1.0,99,18.5,94.0,Overcast,985.95,0,Winter,2.5,Inland,Snowy
3.0,89,19.0,67.0,Overcast,995.64,0,Winter,5.0,Inland,Snowy
3.0,81,18.5,59.0,Overcast,985.54,1,Winter,3.0,Mountain,Snowy
2.0,68,8.0,92.0,Overcast,994.14,0,Winter,3.5,Inland,Snowy
2.0,72,13.0,68.0,Overcast,985.39,0,Winter,4.5,Inland,Snowy
1.0,88,0.5,60.0,Overcast,985.22,0,Winter,2.5,Mountain,Snowy
1.0,99,2.0,84.0,Overcast,991.07,0,Winter,4.5,Mountain,Snowy
1.0,95,0.0,60.0,Overcast,992.38,1,Winter,2.0,Inland,Snowy
2.0,89,16.5,76.0,Overcast,991.63,0,Winter,1.0,Inland,Snowy
1.0,61,13.5,56.0,Overcast,994.3,0,Winter,1.0,Mountain,Snowy
3.0,75,14.5,71.0,Overcast,987.78,1,Winter,2.0,Mountain,Snowy
1.0,62,18.5,82.0,Overcast,991.37,0,Winter,4.5,Inland,Snowy
1.0,83,17.0,87.0,Partly cloudy,985.57,1,Winter,3.0,Mountain,Snowy
2.0,93,2.5,73.0,Overcast,990.23,5,Winter,2.5,Mountain,Snowy
3.0,93,1.5,57.0,Overcast,985.59,1,Winter,2.0,Mountain,Snowy
3.0,95,19.5,108.0,Overcast,980.86,5,Winter,2.0,Mountain,Snowy
2.0,92,6.0,63.0,Overcast,997.7,1,Winter,3.5,Inland,Snowy
1.0,83,9.5,56.0,Overcast,993.81,0,Winter,2.5,Mountain,Snowy
3.0,66,11.5,72.0,Overcast,986.52,0,Winter,4.5,Mountain,Snowy
2.0,96,5.0,80.0,Overcast,980.01,0,Winter,2.0,Inland,Snowy
2.0,97,7.5,56.0,Overcast,990.8,0,Winter,3.0,Mountain,Snowy
1.0,84,18.5,88.0,Overcast,981.33,1,Winter,3.0,Inland,Snowy
2.0,97,17.5,90.0,Overcast,980.09,8,Winter,2.0,Mountain,Snowy
1.0,23,14.0,10.0,Cloudy,1020.47,2,Spring,9.0,Mountain,Sunny
2.0,72,15.0,99.0,Overcast,998.03,1,Winter,4.5,Mountain,Snowy
1.0,79,2.5,83.0,Overcast,999.67,1,Winter,2.5,Inland,Snowy
3.0,78,15.0,81.0,Overcast,997.01,0,Winter,1.5,Inland,Snowy
1.0,93,12.5,98.0,Overcast,988.78,0,Winter,4.0,Inland,Snowy
3.0,69,11.0,51.0,Overcast,992.3,1,Winter,1.5,Inland,Snowy
3.0,76,10.0,94.0,Overcast,984.27,0,Winter,2.0,Inland,Snowy
